Département;Récolte;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
01 - Ain;RBC - Récolte de bois commercialisé;340,996;397,096;439,504;421,263;405,333;365,297;369,502;309,561;351,707;415,392;324,444;324,936;355,394;381,3;369,524;367,869;400,483;378,76;510,627;567,961
01 - Ain;     RBC - dont bois certifié*;42,776;65,136;97,704;131,208;130,188;181,657;196,424;147,815;171,626;214,572;123,873;144,358;152,46;174,99;158,435;136,574;135,6;173,377;251,487;179,736
01 - Ain;BO - Bois d’œuvre;281,842;336,418;375,39;354,288;328,933;289,942;292,832;231,015;251,759;309,83;237,974;223,606;244,292;277,06;257,773;258,378;309,159;282,195;371,014;452,238
01 - Ain;     BO - dont grumes certifiées*;38,57;59,436;90,103;119,61;112,835;154,236;159,493;121,045;126,29;173,864;100,427;119,455;108,893;137,511;116,858;101,229;110,444;135,683;210,16;139,052
01 - Ain;     BO - Feuillus;60,71;74,352;69,47;68,24;52,351;64,499;54,767;43,874;52,629;77,119;59,074;56,493;60,378;81,704;61,984;42,568;57,86;47,849;47,121;36,796
01 - Ain;          BO - Chêne;11,257;10,829;10,228;13,697;11,063;16,756;12,33;12,478;12,829;11,374;14,905;11,909;26,644;26,722;26,933;23,762;26,077;23,366;22,516;19,545
01 - Ain;                BO - Chêne à tranchage et merrain;1,101;0,051;0,357;2,016;0,258;0,647;0,018;0,633;0;0,025;0,027;0,12;0,302;0,425;1,93;0,75;0,861;0,847;0,805;0,693
01 - Ain;                BO - Chêne à sciages;10,156;10,778;9,871;11,681;10,805;16,109;12,312;11,845;12,829;11,349;14,878;11,789;26,342;26,297;25,003;23,012;25,216;22,519;21,711;18,852
01 - Ain;          BO - Hêtre;24,021;7,055;3,74;3,166;6,412;8,254;7,295;5,498;7,853;25,179;7,687;7,581;2,163;10,608;7,415;3,098;3,551;1,727;2,147;1,32
01 - Ain;                BO - Hêtre à déroulage;0,455;0,1;0,1;0,175;0,37;0,565;0,28;0,668;1,635;5,932;0,836;0,143;0,149;2,75;0,214;0,504;0,24;0,2;0,024;0,054
01 - Ain;                BO - Hêtre à sciages;23,566;6,955;3,64;2,991;6,042;7,689;7,015;4,83;6,218;19,247;6,851;7,438;2,014;7,858;7,201;2,594;3,311;1,527;2,123;1,266
01 - Ain;          BO - Châtaignier;0,343;0,332;0,686;0,73;0,19;0,225;0,287;0,057;0,064;0,064;0,093;0,424;0,102;0,13;0,419;0,411;0,069;0,04;0,037;0,07
01 - Ain;          BO - Feuillus précieux;1,551;1,832;1,672;1,39;1,444;1,439;2,017;1,197;1,167;1,312;1,922;1,444;1,691;3,035;0,911;1,257;2,296;1,242;1,629;1,777
01 - Ain;          BO - Peuplier;23,121;53,575;52,51;47,761;32,866;35,771;26,332;19,947;24,727;32,708;31,751;33,342;28,374;40,198;24,867;12,245;24,298;19,512;18,671;12,83
01 - Ain;               BO - Peuplier à déroulage;19,81;42,306;46,765;40,552;28,034;28,224;19,485;14,656;15,854;23,146;21,034;22,147;21,261;36,251;21,097;9,858;12,731;16,154;17,339;11,152
01 - Ain;               BO - Peuplier à sciages;3,311;11,269;5,745;7,209;4,832;7,547;6,847;5,291;8,873;9,562;10,717;11,195;7,113;3,947;3,77;2,387;11,567;3,358;1,332;1,678
01 - Ain;          BO - Autres feuillus;0,417;0,729;0,634;1,496;0,376;2,054;6,506;4,697;5,989;6,482;2,716;1,793;1,404;1,011;1,439;1,795;1,569;1,962;2,121;1,254
01 - Ain;     BO - Conifères;221,132;262,066;305,92;286,048;276,582;225,443;238,065;187,141;199,13;232,711;178,9;167,113;183,914;195,356;195,789;215,81;251,299;234,346;323,893;415,442
01 - Ain;          BO - Sapin-épicéa (jusqu'en 2018);215,032;256,889;281,382;263,627;247,416;209,371;218,542;165,457;177,088;188,61;160,695;140,667;151,42;168,899;0;0;0;0;0;0
01 - Ain;          BO - Sapin (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;88,137;89,793;103,659;102,333;127,177;149,343
01 - Ain;          BO - Epicéa (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;65,246;80,749;110,442;109,268;182,933;207,77
01 - Ain;          BO - Douglas;3,933;3,766;11,792;5,721;19,286;4,675;4,467;8,454;10,225;28,673;7,689;14,268;22,474;19,784;24,581;31,048;31,115;16,41;10,874;50,617
01 - Ain;          BO - Mélèze;0,097;0,053;8,64;0,668;1,052;0,092;0,511;0,155;0,072;0,922;1,081;0,032;1,598;0,189;0,293;0,138;0,152;0,264;0,24;0,07
01 - Ain;          BO - Pin maritime;0;0;0;0;0;0;0;0;0;0;0,024;0;0;0;0;0;0;0;0;0
01 - Ain;               BO - Pin maritime à placages;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 - Ain;               BO - Pin maritime à sciages;0;0;0;0;0;0;0;0;0;0;0,024;0;0;0;0;0;0;0;0;0
01 - Ain;          BO - Pin sylvestre;0,055;0,091;1,943;5,489;3,657;3,576;3,044;3,775;5,888;2,09;2,112;1,339;2,94;0,992;3,047;0,928;2,124;1,19;1,49;3,876
01 - Ain;          BO - Autres conifères;2,015;1,267;2,163;10,543;5,171;7,729;11,501;9,3;5,857;12,416;7,299;10,807;5,482;5,492;14,485;13,154;3,807;4,881;1,179;3,766
01 - Ain;BI - Bois d'industrie;23,6;24,611;26,887;28,59;34,704;21,851;14,099;18,842;30,922;43,679;21,52;40,136;43,437;33,774;35,258;24,03;23,851;17,328;38,723;29,168
01 - Ain;   BI - Bois de trituration;22,618;23,458;25,888;27,172;32,849;20,153;13,685;16,099;29,777;38,921;19,451;33,549;41,849;32,067;31,603;17,508;16,83;10,565;25,823;19,026
01 - Ain;     BT - dont bois de trituration certifié*;2,115;1,961;2,325;8,64;7,463;8,039;5,303;6,923;17,173;11,317;5,978;8,816;15,25;9,561;13,22;5,66;2,326;3,142;6,615;5,496
01 - Ain;     BT - Feuillus;12,104;6,03;3,85;6,966;11,751;3,301;4,187;3,799;7,756;15,066;7,79;19,423;19,842;14,221;2,708;4,948;3,159;4,944;8,629;6,103
01 - Ain;     BT - Conifères;10,514;17,428;22,038;20,206;21,098;16,852;9,498;12,3;22,021;23,855;11,661;14,126;22,007;17,846;28,895;12,56;13,671;5,621;17,194;12,923
01 - Ain;          BT - Conifères blancs : sapin, épicéa;7,972;17,008;18,943;19,885;17,84;16,622;8,395;11,427;20,94;12,281;8,404;11,608;15,05;16,055;25,398;10,366;13,601;4,635;16,075;8,832
01 - Ain;          BT - Pins maritimes;0;0,034;0,068;0;0;0;0;0;0,09;0;0;0;0;0;0;0;0;0;0;0
01 - Ain;          BT - Autres conifères rouges;2,542;0,386;3,027;0,321;3,258;0,23;1,103;0,873;0,991;11,574;3,257;2,518;6,957;1,791;3,497;2,194;0,07;0,986;1,119;4,091
01 - Ain;   BI - Autres bois d'industrie;0,982;1,153;0,999;1,418;1,855;1,698;0,414;2,743;1,145;4,758;2,069;6,587;1,588;1,707;3,655;6,522;7,021;6,763;12,9;10,142
01 - Ain;     ABI - dont bois d'industrie certifié*;0;0,191;0;0;0,939;0,018;0;0,131;0,222;0;0;0,026;0,223;0,819;0,602;1,909;1,394;0,604;9,178;0,925
01 - Ain;     ABI - Feuillus;0,802;0,593;0,584;0,968;1,317;0,838;0,302;2,488;0,842;2,922;1,809;2,037;0,318;0,613;2,089;2,401;3,264;2,127;11,99;3,245
01 - Ain;     ABI - Conifères (dont poteaux);0,18;0,56;0,415;0,45;0,538;0,86;0,112;0,255;0,303;1,836;0,26;4,55;1,27;1,094;1,566;4,121;3,757;4,636;0,91;6,897
01 - Ain;BE - Bois énergie;35,554;36,067;37,227;38,385;41,696;53,504;62,571;59,704;69,026;61,883;64,95;61,194;67,665;70,466;76,493;85,461;67,473;79,237;100,89;86,555
01 - Ain;     BE - dont bois énergie certifié*;2,091;3,548;5,276;2,958;8,951;19,364;31,628;19,716;27,941;29,391;17,468;16,061;28,094;27,099;27,755;27,776;21,436;33,948;25,534;34,263
01 - Ain;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);33,187;30,983;31,476;31,902;32,503;41,646;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 - Ain;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);1,414;1,633;0,579;0,943;0,654;0,153;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 - Ain;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);0,186;0,071;2,718;3,209;4,261;4,009;39,115;36,513;40,288;29,862;42,528;29,254;41,958;40,09;44,502;53,002;33,524;40,828;50,147;47,271
01 - Ain;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;17,712;16,868;21,258;24,514;13,808;19,42;21,364;16,635;18,431;23,685;28,42;26,342;26,731;22,451
01 - Ain;     BE - Plaquettes forestières;0,767;3,38;2,454;2,331;4,278;7,696;5,744;6,323;7,48;7,507;8,614;12,52;4,343;13,741;13,56;8,774;5,529;12,067;24,012;16,833
