Région;Récolte;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
11 - Île-de-France;RBC - Récolte de bois commercialisé;362,054;336,838;361,695;271,91;267,677;305,804;360,283;314,238;311,412;341,701;381,536;370,213;370,127;307,324;283,257;293,517;268,209;358,248;320,074;278,55
11 - Île-de-France;     RBC - dont bois certifié*;128,23;118,431;131,801;111,037;123,545;155,244;189,97;130,415;167,865;188,833;254,127;216,659;221,656;186,251;195,51;175,566;168,662;181,826;117,509;150,93
11 - Île-de-France;BO - Bois d’œuvre;170,319;156,109;172,815;152,551;147,262;145,396;151,812;112,744;90,664;94,621;115,158;113,386;121,08;90,64;99,732;122,995;83,97;164,321;103,531;87,872
11 - Île-de-France;     BO - dont grumes certifiées*;62,305;65,643;67,523;70,048;81,906;75,262;87,027;56,217;51,098;55,847;62,936;48,269;57,593;51,662;62,541;53,551;44,333;72,425;36,06;44,817
11 - Île-de-France;     BO - Feuillus;151,089;137,223;155,249;143,318;136,279;136,036;136,596;103,35;79,965;87,058;104,475;102,576;115,078;83,788;91,296;117,939;79,158;158,165;95,011;80,897
11 - Île-de-France;          BO - Chêne;93,714;82,871;88,649;90,499;94,778;84,947;76,01;67,175;50,571;60,96;61,546;54,06;56,925;52,524;57,484;81,773;43,345;53,769;47,726;36,474
11 - Île-de-France;                BO - Chêne à tranchage et merrain;9,179;11,21;12,372;16,945;11,554;10,185;9,807;8,631;9,877;10,135;9,699;9,018;9,113;11,151;11,998;11,546;7,748;8,454;9,732;5,826
11 - Île-de-France;                BO - Chêne à sciages;84,535;71,661;76,277;73,554;83,224;74,762;66,203;58,544;40,694;50,825;51,847;45,042;47,812;41,373;45,486;70,227;35,597;45,315;37,994;30,648
11 - Île-de-France;          BO - Hêtre;5,493;3,396;7,965;6,719;4,316;6,246;3,829;3,072;2,248;2,301;3,198;3,689;3,263;1,933;1,897;2,899;1,26;3,631;4,31;1,162
11 - Île-de-France;                BO - Hêtre à déroulage;1,105;0,396;4,003;0,691;0,39;0,127;0,106;0,348;0,155;0,208;0,105;0,046;0,072;0,004;0,022;0,077;0;0,066;0,534;0
11 - Île-de-France;                BO - Hêtre à sciages;4,388;3;3,962;6,028;3,926;6,119;3,723;2,724;2,093;2,093;3,093;3,643;3,191;1,929;1,875;2,822;1,26;3,565;3,776;1,162
11 - Île-de-France;          BO - Châtaignier;22,214;24,656;26,959;21,258;18,4;20,586;24,035;14,997;10,881;11,415;14,177;20,055;18,799;9,091;9,592;6,059;10,713;5,099;7,885;7,846
11 - Île-de-France;          BO - Feuillus précieux;6,232;5,186;4,172;6,118;5,787;4,48;3,604;2,945;1,958;1,477;2,487;2,391;2,749;3,619;4,082;4,637;4,255;5,671;4,87;4,571
11 - Île-de-France;          BO - Peuplier;21,014;17,948;24,668;15,954;10,979;16,396;21,798;10,179;10,401;6,468;18,335;10,954;20,648;7,354;7,876;11,751;15,747;79,201;27,535;28,903
